Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div
Joey Bart,PIT,NL Central,R,R,USA,28,C,NL,Central
Jorge Barrosa,AZ,NL West,S,L,VEN,24,LF,NL,West
Chris Bassitt,TOR,AL East,R,R,USA,36,SP,AL,East
Brady Basso,ATH,AL West,R,L,USA,27,SP,AL,West
Brett Baty,NYM,NL East,L,R,USA,25,3B,NL,East
Jake Bauers,MIL,NL Central,L,L,USA,29,LF,NL,Central
Félix Bautista,BAL,AL East,R,R,DOM,30,RP,AL,East
Eduard Bazardo,SEA,AL West,R,R,VEN,29,RP,AL,West
Shane Baz,TB,AL East,R,R,USA,26,SP,AL,East
Jordan Beck,COL,NL West,R,R,USA,24,LF,NL,West
Tristan Beck,SF,NL West,R,R,USA,29,RP,NL,West
David Bednar,NYY,AL East,L,R,USA,30,RP,AL,East
Jalen Beeks,AZ,NL West,L,L,USA,32,RP,NL,West
Clayton Beeter,WSH,NL East,R,R,USA,26,RP,NL,East
Josh Bell,WSH,NL East,S,R,USA,32,1B,NL,East
Cody Bellinger,NYY,AL East,L,L,USA,30,LF,AL,East
Brayan Bello,BOS,AL East,R,R,DOM,26,SP,AL,East
Valente Bellozo,MIA,NL East,R,R,MEX,25,RP,NL,East
Will Benson,CIN,NL Central,L,L,USA,27,LF,NL,Central
Anthony Bender,MIA,NL East,R,R,USA,30,RP,NL,East
Ben Rice,NYY,AL East,L,R,USA,26,1B,AL,East
Ben Lively,CLE,AL Central,R,R,USA,33,SP,AL,Central
Bennett Sousa,HOU,AL West,L,L,USA,30,RP,AL,West
Ben Williamson,SEA,AL West,R,R,USA,24,3B,AL,West
Ben Bowden,ATH,AL West,L,L,USA,30,RP,AL,West
Ben Joyce,LAA,AL West,R,R,USA,24,RP,AL,West
Ben Casparius,LAD,NL West,R,R,USA,26,RP,NL,West
Ben Brown,CHC,NL Central,R,R,USA,25,SP,NL,Central
Ben Cowles,CHC,NL Central,R,R,USA,25,3B,NL,Central
Sam Benschoter,CIN,NL Central,R,R,USA,27,SP,NL,Central
Jon Berti,CHC,NL Central,R,R,USA,35,3B,NL,Central
José Berríos,TOR,AL East,R,R,PRI,31,SP,AL,East
Brennan Bernardino,BOS,AL East,L,L,USA,33,RP,AL,East
Steward Berroa,MIL,NL Central,S,R,DOM,26,RF,NL,Central
Prelander Berroa,CWS,AL Central,R,R,DOM,25,SP,AL,Central
Warming Bernabel,COL,NL West,R,R,DOM,23,SS,NL,West
Ryan Bergert,KC,AL Central,R,R,USA,25,SP,AL,Central
Mookie Betts,LAD,NL West,R,R,USA,32,SS,NL,West
Tanner Bibee,CLE,AL Central,R,R,USA,26,SP,AL,Central
Bo Bichette,TOR,AL East,R,R,USA,27,SS,AL,East
Osvaldo Bido,ATH,AL West,R,R,DOM,29,SP,AL,West
Shane Bieber,TOR,AL East,R,R,USA,30,SP,AL,East
Hunter Bigge,TB,AL East,R,R,USA,27,RP,AL,East
Billy Cook,PIT,NL Central,R,R,USA,26,CF,NL,Central
Jake Bird,NYY,AL East,R,R,USA,29,RP,AL,East
Hayden Birdsong,SF,NL West,R,R,USA,23,RP,NL,West
Spencer Bivens,SF,NL West,R,R,USA,31,RP,NL,West
JJ Bleday,ATH,AL West,L,L,USA,27,CF,AL,West
Scott Blewett,BAL,AL East,R,R,USA,29,RP,AL,East
Ryan Bliss,SEA,AL West,R,R,USA,25,2B,AL,West
Jake Bloss,TOR,AL East,R,R,USA,24,SP,AL,East
Bobby Witt Jr.,KC,AL Central,R,R,USA,25,SS,AL,Central
Bobby Miller,LAD,NL West,L,R,USA,26,SP,NL,West
Xander Bogaerts,SD,NL West,R,R,ABW,32,SS,NL,West
Bo Naylor,CLE,AL Central,L,R,CAN,25,C,AL,Central
Cam Booser,CWS,AL Central,L,L,USA,33,RP,AL,Central
Ryan Borucki,PIT,NL Central,L,L,USA,31,RP,NL,Central
Sean Bouchard,COL,NL West,R,R,USA,29,RF,NL,West
Caleb Boushley,TEX,AL West,R,R,USA,31,RP,AL,West
Bowden Francis,TOR,AL East,R,R,USA,29,SP,AL,East
Jonathan Bowlan,KC,AL Central,R,R,USA,28,RP,AL,Central
Matthew Boyd,CHC,NL Central,L,L,USA,34,SP,NL,Central
Joe Boyle,TB,AL East,R,R,USA,25,SP,AL,East
Brandon Lowe,TB,AL East,L,R,USA,31,2B,AL,East
Brandon Marsh,PHI,NL East,L,R,USA,27,CF,NL,East
Ryan Brasier,CHC,NL Central,R,R,USA,37,RP,NL,Central
Brayan Rocchio,CLE,AL Central,S,R,VEN,24,SS,AL,Central
Brad Keller,CHC,NL Central,R,R,USA,30,RP,NL,Central
Huascar Brazobán,NYM,NL East,R,R,DOM,35,RP,NL,East
Brady Singer,CIN,NL Central,R,R,USA,28,SP,NL,Central
Brandon Woodruff,MIL,NL Central,L,R,USA,32,SP,NL,Central
Matt Brash,SEA,AL West,R,R,CAN,27,RP,AL,West
Brandon Lockridge,MIL,NL Central,R,R,USA,28,LF,NL,Central
Braden Shewmake,NYY,AL East,L,R,USA,27,SS,AL,East
Brandon Pfaadt,AZ,NL West,R,R,USA,26,SP,NL,West
Taj Bradley,MIN,AL Central,R,R,USA,24,SP,AL,Central
Braxton Garrett,MIA,NL East,R,L,USA,27,SP,NL,East
Brady House,WSH,NL East,R,R,USA,22,3B,NL,East
Brandon Eisert,CWS,AL Central,L,L,USA,27,RP,AL,Central
Kyle Bradish,BAL,AL East,R,R,USA,28,SP,AL,East
Brant Hurter,DET,AL Central,L,L,USA,26,RP,AL,Central
Cody Bradford,TEX,AL West,L,L,USA,27,SP,AL,West
Braxton Fulford,COL,NL West,R,R,USA,26,C,NL,West
Brad Lord,WSH,NL East,R,R,USA,25,SP,NL,East
Brandon Waddell,NYM,NL East,L,L,USA,31,RP,NL,East
Brandon Williamson,CIN,NL Central,R,L,USA,27,SP,NL,Central
Braydon Fisher,TOR,AL East,R,R,USA,25,RP,AL,East
Brandon Walter,HOU,AL West,L,L,USA,28,SP,AL,West
Bradley Blalock,COL,NL West,R,R,USA,24,SP,NL,West
Brandyn Garcia,AZ,NL West,L,L,USA,25,RP,NL,West
Brandon Young,BAL,AL East,R,R,USA,26,SP,AL,East
Brendan Rodgers,HOU,AL West,R,R,USA,28,2B,AL,West
Brent Rooker,ATH,AL West,R,R,USA,30,RF,AL,West
