Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div,xp
Angel Bastardo,TOR,AL East,R,R,VEN,23,SP,AL,East,72.13066072754275
Jonathan Aranda,TB,AL East,L,R,MEX,27,1B,AL,East,94.98440979955457
Orlando Arcia,COL,NL West,R,R,VEN,30,SS,NL,West,85.9821826280624
Nolan Arenado,STL,NL Central,R,R,USA,34,3B,NL,Central,84.88938381588717
Gabriel Arias,CLE,AL Central,R,R,VEN,25,SS,AL,Central,78.47661469933185
Michael Arias,NYY,AL East,R,R,DOM,23,SP,AL,East,66.2479584261322
Shawn Armstrong,TEX,AL West,R,R,USA,34,RP,AL,West,55.12249443207127
Aroldis Chapman,BOS,AL East,L,L,CUB,37,RP,AL,East,121.9613956941352
Randy Arozarena,SEA,AL West,R,R,CUB,30,LF,AL,West,95.85003711952486
Luis Arraez,SD,NL West,L,R,VEN,28,1B,NL,West,84.5790645879733
Spencer Arrighetti,HOU,AL West,R,R,USA,25,SP,AL,West,35.07795100222718
Graham Ashcraft,CIN,NL Central,L,R,USA,27,RP,NL,Central,34.01336302895325
Braxton Ashcraft,PIT,NL Central,L,R,USA,25,RP,NL,Central,34.969561989606554
Javier Assad,CHC,NL Central,R,R,MEX,28,SP,NL,Central,58.4929472902747
Austin Riley,ATL,NL East,R,R,USA,28,3B,NL,East,50.52709725315518
Austin Slater,NYY,AL East,R,R,USA,32,LF,AL,East,71.37490720118784
Austin Hays,CIN,NL Central,R,R,USA,30,LF,NL,Central,58.99777282850779
Austin Nola,COL,NL West,R,R,USA,35,C,NL,West,93.45953971789164
Austin Wynns,ATH,AL West,R,R,USA,34,C,AL,West,85.08834446919077
Austin Wells,NYY,AL East,L,R,USA,26,C,AL,East,51.71789161098739
Austin Gomber,COL,NL West,L,L,USA,31,SP,NL,West,49.16852264291019
Austin Martin,MIN,AL Central,R,R,USA,26,CF,AL,Central,51.37342242019302
Austin Warren,NYM,NL East,R,R,USA,29,RP,NL,East,34.74536005939125
Austin Cox,ATL,NL East,L,L,USA,28,RP,NL,East,34.45285820341501
Luinder Avila,KC,AL Central,R,R,VEN,23,SP,AL,Central,75.89309576837422
Lake Bachar,MIA,NL East,R,R,USA,30,RP,NL,East,37.24276169265033
Sam Bachman,LAA,AL West,R,R,USA,25,RP,AL,West,32.04305864884928
Kyle Backhus,AZ,NL West,L,L,USA,27,RP,NL,West,34.21232368225688
Harrison Bader,PHI,NL East,R,R,USA,31,LF,NL,East,66.81365998515219
Javier Báez,DET,AL Central,R,R,PRI,32,CF,AL,Central,119.75055679287307
Ji Hwan Bae,PIT,NL Central,L,R,KOR,26,CF,NL,Central,94.39940608760212
Henry Baez,ATH,AL West,R,R,DOM,22,SP,AL,West,83.08389012620643
Patrick Bailey,SF,NL West,S,R,USA,26,C,NL,West,67.56495916852269
Bailey Falter,KC,AL Central,R,L,USA,28,SP,AL,Central,34.45582776540462
Bailey Ober,MIN,AL Central,R,R,USA,30,SP,AL,Central,38.7275426874536
Bailey Horn,DET,AL Central,L,L,USA,27,RP,AL,Central,33.753526354862636
Bryan Baker,TB,AL East,R,R,USA,30,RP,AL,East,37.900519673348185
Luken Baker,STL,NL Central,R,R,USA,28,1B,NL,Central,52.406829992576114
Darren Baker,WSH,NL East,L,R,USA,26,2B,NL,East,53.73273942093546
Drake Baldwin,ATL,NL East,L,R,USA,24,C,NL,East,62.623608017817396
Brooks Baldwin,CWS,AL Central,S,R,USA,24,LF,AL,Central,85.58574610244997
Moisés Ballesteros,CHC,NL Central,L,R,VEN,21,C,NL,Central,160.6651818856719
Anthony Banda,LAD,NL West,L,L,USA,31,RP,NL,West,46.492947290274664
Tanner Banks,PHI,NL East,R,L,USA,33,RP,NL,East,50.89680772086118
Scott Barlow,CIN,NL Central,R,R,USA,32,RP,NL,Central,44.56867112100965
Joey Bart,PIT,NL Central,R,R,USA,28,C,NL,Central,50.07720861172978
Jorge Barrosa,AZ,NL West,S,L,VEN,24,LF,NL,West,123.21603563474399
Chris Bassitt,TOR,AL East,R,R,USA,36,SP,AL,East,66.23311061618412
Brady Basso,ATH,AL West,R,L,USA,27,SP,AL,West,32.57015590200446
Brett Baty,NYM,NL East,L,R,USA,25,3B,NL,East,55.89458054936899
Jake Bauers,MIL,NL Central,L,L,USA,29,LF,NL,Central,60.3994060876021
Félix Bautista,BAL,AL East,R,R,DOM,30,RP,AL,East,52.1796585003712
Eduard Bazardo,SEA,AL West,R,R,VEN,29,RP,AL,West,49.73570898292501
Shane Baz,TB,AL East,R,R,USA,26,SP,AL,East,33.327394209354125
Jordan Beck,COL,NL West,R,R,USA,24,LF,NL,West,62.58945805493692
Tristan Beck,SF,NL West,R,R,USA,29,RP,NL,West,35.23682256867113
David Bednar,NYY,AL East,L,R,USA,30,RP,AL,East,41.241276911655575
Jalen Beeks,AZ,NL West,L,L,USA,32,RP,NL,West,49.89309576837421
Clayton Beeter,WSH,NL East,R,R,USA,26,RP,NL,East,31.080920564216754
Josh Bell,WSH,NL East,S,R,USA,32,1B,NL,East,101.59762435040832
Cody Bellinger,NYY,AL East,L,L,USA,30,LF,AL,East,65.25315515961398
Brayan Bello,BOS,AL East,R,R,DOM,26,SP,AL,East,45.79064587973274
Valente Bellozo,MIA,NL East,R,R,MEX,25,RP,NL,East,53.511507052709746
Will Benson,CIN,NL Central,L,L,USA,27,LF,NL,Central,54.50779510022275
Anthony Bender,MIA,NL East,R,R,USA,30,RP,NL,East,37.24276169265033
Ben Rice,NYY,AL East,L,R,USA,26,1B,AL,East,54.86859688195993
Ben Lively,CLE,AL Central,R,R,USA,33,SP,AL,Central,53.41202672605794
Bennett Sousa,HOU,AL West,L,L,USA,30,RP,AL,West,39.58871566443951
Ben Williamson,SEA,AL West,R,R,USA,24,3B,AL,West,62.49591685226429
Ben Bowden,ATH,AL West,L,L,USA,30,RP,AL,West,39.561989606533075
Ben Joyce,LAA,AL West,R,R,USA,24,RP,AL,West,37.74164810690422
Ben Casparius,LAD,NL West,R,R,USA,26,RP,NL,West,31.325909428359292
Ben Brown,CHC,NL Central,R,R,USA,25,SP,NL,Central,35.20118782479586
Ben Cowles,CHC,NL Central,R,R,USA,25,3B,NL,Central,51.87973273942096
Sam Benschoter,CIN,NL Central,R,R,USA,27,SP,NL,Central,33.0913140311804
Jon Berti,CHC,NL Central,R,R,USA,35,3B,NL,Central,93.52338530066815
José Berríos,TOR,AL East,R,R,PRI,31,SP,AL,East,74.92650334075725
Brennan Bernardino,BOS,AL East,L,L,USA,33,RP,AL,East,54.72902746844845
Steward Berroa,MIL,NL Central,S,R,DOM,26,RF,NL,Central,93.00371195248702
Prelander Berroa,CWS,AL Central,R,R,DOM,25,SP,AL,Central,49.60059391239797
Warming Bernabel,COL,NL West,R,R,DOM,23,SS,NL,West,98.64587973273943
Ryan Bergert,KC,AL Central,R,R,USA,25,SP,AL,Central,36.32962138084634
Mookie Betts,LAD,NL West,R,R,USA,32,SS,NL,West,70.43652561247218
Tanner Bibee,CLE,AL Central,R,R,USA,26,SP,AL,Central,34.876020786933935
Bo Bichette,TOR,AL East,R,R,USA,27,SS,AL,East,49.765404602821086
Osvaldo Bido,ATH,AL West,R,R,DOM,29,SP,AL,West,49.38233110616189
Shane Bieber,TOR,AL East,R,R,USA,30,SP,AL,East,39.216035634743854
Hunter Bigge,TB,AL East,R,R,USA,27,RP,AL,East,31.26800296956197
Billy Cook,PIT,NL Central,R,R,USA,26,CF,NL,Central,49.729769858945836
Jake Bird,NYY,AL East,R,R,USA,29,RP,AL,East,35.89903489235337
Hayden Birdsong,SF,NL West,R,R,USA,23,RP,NL,West,44.42761692650336
Spencer Bivens,SF,NL West,R,R,USA,31,RP,NL,West,42.43652561247216
JJ Bleday,ATH,AL West,L,L,USA,27,CF,AL,West,53.613956941351184
Scott Blewett,BAL,AL East,R,R,USA,29,RP,AL,East,35.82925018559763
Ryan Bliss,SEA,AL West,R,R,USA,25,2B,AL,West,52.44543429844099
Jake Bloss,TOR,AL East,R,R,USA,24,SP,AL,East,41.58871566443949
Bobby Witt Jr.,KC,AL Central,R,R,USA,25,SS,AL,Central,52.537490720118804
Bobby Miller,LAD,NL West,L,R,USA,26,SP,NL,West,37.86785449146255
Xander Bogaerts,SD,NL West,R,R,ABW,32,SS,NL,West,121.95100222717149
Bo Naylor,CLE,AL Central,L,R,CAN,25,C,AL,Central,93.19376391982189
Cam Booser,CWS,AL Central,L,L,USA,33,RP,AL,Central,54.7483296213809
Ryan Borucki,PIT,NL Central,L,L,USA,31,RP,NL,Central,45.05419450631036
Sean Bouchard,COL,NL West,R,R,USA,29,RF,NL,West,54.328136599851526
Caleb Boushley,TEX,AL West,R,R,USA,31,RP,AL,West,41.60504825538236
Bowden Francis,TOR,AL East,R,R,USA,29,SP,AL,East,37.934669636228655
Jonathan Bowlan,KC,AL Central,R,R,USA,28,RP,AL,Central,31.860430586488473
Matthew Boyd,CHC,NL Central,L,L,USA,34,SP,NL,Central,62.181143281366
Joe Boyle,TB,AL East,R,R,USA,25,SP,AL,East,35.063103192279144
Brandon Lowe,TB,AL East,L,R,USA,31,2B,AL,East,72.06829992576102
Brandon Marsh,PHI,NL East,L,R,USA,27,CF,NL,East,54.42613214550856
Ryan Brasier,CHC,NL Central,R,R,USA,37,RP,NL,Central,67.53971789161098
Brayan Rocchio,CLE,AL Central,S,R,VEN,24,SS,AL,Central,126.71269487750567
Brad Keller,CHC,NL Central,R,R,USA,30,RP,NL,Central,36.798812175204176
Huascar Brazobán,NYM,NL East,R,R,DOM,35,RP,NL,East,80.64142538975506
Brady Singer,CIN,NL Central,R,R,USA,28,SP,NL,Central,34.291017074981475
Brandon Woodruff,MIL,NL Central,L,R,USA,32,SP,NL,Central,50.351893095768375
Matt Brash,SEA,AL West,R,R,CAN,27,RP,AL,West,51.778767631774336
Brandon Lockridge,MIL,NL Central,R,R,USA,28,LF,NL,Central,52.08166295471419
Braden Shewmake,NYY,AL East,L,R,USA,27,SS,AL,East,54.0890868596882
Brandon Pfaadt,AZ,NL West,R,R,USA,26,SP,NL,West,34.253897550111354
Taj Bradley,MIN,AL Central,R,R,USA,24,SP,AL,Central,43.24721603563476
Braxton Garrett,MIA,NL East,R,L,USA,27,SP,NL,East,33.254639940608755
Brady House,WSH,NL East,R,R,USA,22,3B,NL,East,91.59613956941352
Brandon Eisert,CWS,AL Central,L,L,USA,27,RP,AL,Central,33.968819599109125
Kyle Bradish,BAL,AL East,R,R,USA,28,SP,AL,East,34.21974758723088
Brant Hurter,DET,AL Central,L,L,USA,26,RP,AL,Central,33.97030438010389
Cody Bradford,TEX,AL West,L,L,USA,27,SP,AL,West,35.67631774313289
Braxton Fulford,COL,NL West,R,R,USA,26,C,NL,West,48.89532293986636
Brad Lord,WSH,NL East,R,R,USA,25,SP,NL,East,35.47884187082407
Brandon Waddell,NYM,NL East,L,L,USA,31,RP,NL,East,46.3904974016333
Brandon Williamson,CIN,NL Central,R,L,USA,27,SP,NL,Central,33.10319227913884
Braydon Fisher,TOR,AL East,R,R,USA,25,RP,AL,East,31.861915367483277
Brandon Walter,HOU,AL West,L,L,USA,28,SP,AL,West,36.92947290274686
Bradley Blalock,COL,NL West,R,R,USA,24,SP,NL,West,43.28582034149962
Brandyn Garcia,AZ,NL West,L,L,USA,25,RP,NL,West,35.33481811432812
Brandon Young,BAL,AL East,R,R,USA,26,SP,AL,East,33.42093541202672
Brendan Rodgers,HOU,AL West,R,R,USA,28,2B,AL,West,50.475129918337046
Brent Rooker,ATH,AL West,R,R,USA,30,RF,AL,West,56.74536005939124
