Name,possible_num_remaining_players
Brusdar Graterol,[92 39 52 ...  3  9 11]
Justin Bruihl,[ 21  14 106 ...  19   2  21]
JT Brubaker,[ 3  7 41 ... 24 24 35]
Kris Bryant,[ 6 21 62 ... 21 21 20]
Bryan Reynolds,[ 10  43 103 ...  53  43 207]
Bryson Stott,[124  13   8 ...  41  38  30]
Bryan De La Cruz,[ 12  40 193 ...  35   6  33]
Bryce Johnson,[114  51 194 ...  14   2   1]
Bryan Hoeing,[ 58  19 106 ...  10   2  11]
Bryan King,[79 13 65 ... 25  7 41]
Bryce Elder,[100   2  10 ...  13  28  45]
Bryce Jarvis,[52 23 99 ...  2  4 10]
Bryan Hudson,[69 14 87 ... 28  5 36]
Bryce Miller,[96 21 27 ... 15 33 44]
Bryan Woo,[109  25  23 ...   8  39  41]
Bryan Ramos,[278  63 196 ...  14  63  16]
Zach Brzykcy,[86  7 23 ... 21 21 39]
Kris Bubic,[113  22  21 ...  11  13  23]
Walker Buehler,[16 10 21 ... 13 27 38]
Corbin Burnes,[65 22 16 ...  1  4 18]
Ryan Burr,[14  7 41 ... 24 24 35]
Nick Burdi,[ 9 16  8 ... 27 27 35]
Sean Burke,[126  26  25 ...   7  26  22]
Mike Burrows,[86 40 44 ... 10 40 35]
Juan Burgos,[ 87  31 124 ...   3   4  13]
Chase Burns,[184  75 101 ...   4  75  21]
Michael Busch,[ 96  41 124 ...  41  30  34]
Ky Bush,[138  26  26 ...   7  26  16]
Lawrence Butler,[  7  31 107 ...  26  50  31]
José Buttó,[ 71  25 130 ...  11   7   1]
Byron Buxton,[65  8 44 ... 30  6  3]
Oswaldo Cabrera,[ 20  62 214 ...  31  31 123]
José Caballero,[ 13  48 219 ...  38   7  38]
Génesis Cabrera,[ 95  15 138 ...  34   5  41]
Edward Cabrera,[127  14  16 ...  19  35  41]
Jean Cabrera,[208  20   4 ...   7  62  28]
Cade Smith,[141  17  94 ...  19  19  31]
Cade Povich,[39 40 42 ...  7 27 18]
Cade Gibson,[89  7 25 ... 25 21 27]
Cade Horton,[107  62  66 ...   7  62  22]
Caden Dana,[184  29 113 ...  51  51  68]
Cade Cavalli,[100   9  11 ...  13  28  45]
Jac Caglianone,[ 11  53 168 ...   7  53   5]
Owen Caissie,[ 13  87 304 ...  17  87  21]
Caleb Thielbar,[121  40 177 ...  54  54  79]
Caleb Ferguson,[97 19 72 ... 26 23 46]
Cal Quantrill,[199   9  12 ...  18  24  63]
Calvin Faucher,[101   9  25 ...  29  20  41]
Caleb Durbin,[107  52 145 ...  38  52  36]
Cal Stevenson,[134  10   8 ...  38   2   3]
Tyler Callihan,[118  48 153 ...  33  48  30]
Luis Campusano,[ 96  46 131 ...  13  13   8]
Junior Caminero,[ 82  96 289 ...   8  66  10]
Cam Smith,[ 11  55 160 ...   4  85  15]
Kristian Campbell,[ 64  80 213 ...  11  55  11]
Isaiah Campbell,[ 32  23 135 ...  26  15  29]
Gustavo Campero,[ 14  41 144 ...  50  48 224]
Cam Devanney,[ 94  42 121 ...  42  10  41]
Noah Cameron,[120  22  21 ...   6  20  18]
Cam Schlittler,[12 57 47 ...  3 34  2]
Mark Canha,[246  56 163 ...  56  56  49]
Dominic Canzone,[ 5 28 82 ... 32 37 33]
Yennier Cano,[17  7 54 ... 25 25 60]
Griffin Canning,[97 12 14 ... 19 29 39]
Joey Cantillo,[138  26  26 ...   7  26  16]
Jonathan Cannon,[126  26  25 ...   7  26  22]
Carlos Correa,[241  23  75 ...  62  39  81]
Victor Caratini,[115   9  64 ...  80  80 328]
Carson Kelly,[49 10 68 ... 61 61 60]
Dylan Carlson,[ 58  51 165 ...  28  28  97]
Carlos Estévez,[45  9 10 ... 33 33 48]
Corbin Carroll,[  7  66 183 ...   1   8   2]
Carlos Carrasco,[263   6  24 ...  30  72 113]
Kerry Carpenter,[11 32 80 ... 32 18 22]
Carlos Rodón,[ 7 24  5 ... 12 30 30]
Carlos Hernández,[141  15  75 ...  22   5  38]
Evan Carter,[254  54 168 ...   5   6   3]
Carson Fulmer,[48  6 26 ... 35 35 69]
Carlos Narváez,[ 59  49 181 ...  28  28  41]
Carmen Mlodzinski,[63 19 80 ... 26 26 39]
Carlos Vargas,[129  19  80 ...  21  34  48]
Carlos Cortes,[138  48  99 ...  73  24  73]
Carson Spiers,[73 31 36 ... 12 21 41]
Carlos Rodríguez,[13  6 69 ...  7 71  6]
Carson McCusker,[10 32 75 ... 32 19 27]
Carson Palmquist,[100  50  37 ...   2  17   2]
Carson Seymour,[60 23 94 ...  6  6  2]
Carlos Rodriguez,[132  45 189 ...  17  49  32]
Dylan Cease,[54 37 52 ...  7  9 13]
